latitude,longitude,coordinates,MCDELIVERY_URL,shortDescription,longDescription,todayHours,driveTodayHours,id,addressLine1,addressLine3,addressLine4,subDivision,postcode,customAddress,telephone,openstatus,identifierValue,timeZone,filterType,rest_hoursMonday,rest_hoursTuesday,rest_hoursWednesday,rest_hoursThursday,rest_hoursFriday,rest_hoursSaturday,rest_hoursSunday,drive_driveHoursMonday,drive_driveHoursTuesday,drive_driveHoursWednesday,drive_driveHoursThursday,drive_driveHoursFriday,drive_driveHoursSaturday,drive_driveHoursSunday,ident_NATLSTRNUMBER,ident_Entity,ident_Region_ID,ident_Co_Op,ident_Co_Op_ID,ident_Co_Op_Name,ident_TV_Market_ID,ident_TV_Market_Name
61.194617,-149.898632,"[-149.898632, 61.194617]",https://www.ubereats.com/store/mcdonalds-800-w-northern-lights/XVAdos5YTMCaR2G9Hi4iLQ,ANCHOR-N LIGHTS,ANCHOR-N LIGHTS,07:00 - 22:00,00:00 - 00:00,195500327761:en-US,800 W Northern Lights Blvd,Anchorage,United States,AK,99503,"Anchorage, AK 99503",(907) 561-5525,OPEN,1199,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'TWENTYFOURHOURS', 'WIFI']",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,1199,31846,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.188539,-149.870531,"[-149.870531, 61.188539]",https://www.ubereats.com/store/mcdonalds-701-e-36th-ave/BdHwPp1zRXq2luuWI6EQmg,ANCHORAGE-36TH,ANCHORAGE-36TH,05:00 - 22:00,05:00 - 23:00,195500327884:en-US,701 E 36th Ave,Anchorage,United States,AK,99503,"Anchorage, AK 99503",(907) 563-0658,OPEN,7601,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'WIFI']",05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 23:00,05:00 - 00:00,05:00 - 00:00,05:00 - 23:00,7601,31865,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.219374,-149.823563,"[-149.823563, 61.219374]",https://www.ubereats.com/store/mcdonalds-3006-mountain-view-dr/cQCciwFfSf-Qt9P5GcW03A,MNT. VIEW DR.,MNT. VIEW DR.,06:00 - 23:00,00:00 - 00:00,195500327938:en-US,3006 Mountain View Dr,Anchorage,United States,AK,99501,"Anchorage, AK 99501",(907) 274-5686,OPEN,7953,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'TWENTYFOURHOURS', 'WIFI']",06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,7953,31871,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.18132,-149.832403,"[-149.832403, 61.18132]",https://www.ubereats.com/store/mcdonalds-2601-tudor-rd/Nj7AiH8tTxOKh-FXnSikHw,ANCHORAGE-TUDOR,ANCHORAGE-TUDOR,06:00 - 22:00,06:00 - 23:00,195500327792:en-US,2601 E Tudor Rd,Anchorage,United States,AK,99507,"Anchorage, AK 99507",(907) 562-2108,OPEN,4820,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'WIFI']",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,4820,31852,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.181581,-149.937022,"[-149.937022, 61.181581]",https://www.ubereats.com/store/mcdonalds-4350-spenard-rd/cXZhUUlfQy6I5jhz1Kq4BQ,SPENARD LAKE,SPENARD LAKE,06:00 - 23:00,06:00 - 23:00,195500327983:en-US,4350 Spenard Rd,Anchorage,United States,AK,99517,"Anchorage, AK 99517",(907) 243-5122,OPEN,13355,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'INDOORPLAYGROUND', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'PlayPlacePresence', 'ROA', 'WIFI']",06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,13355,31878,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.209323,-149.775045,"[-149.775045, 61.209323]",https://www.ubereats.com/store/mcdonalds-5716-debarr-rd/gn65hcyuQvGXCxjYOO6-SA,ANCHOR-DEBARR,ANCHOR-DEBARR,06:00 - 22:00,04:00 - 23:00,195500327778:en-US,5716 Debarr Rd,Anchorage,United States,AK,99504,"Anchorage, AK 99504",(907) 333-0413,OPEN,1657,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'WIFI']",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,04:00 - 23:00,04:00 - 23:00,04:00 - 23:00,04:00 - 23:00,04:00 - 23:00,04:00 - 23:00,04:00 - 23:00,1657,31847,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.174275,-149.982613,"[-149.982613, 61.174275]",,ANCHORAGE-AIRPOR,ANCHORAGE-AIRPORT,00:00 - 00:00,00:00 - 00:00,195500575209:en-US,5000 W Intl Airport Rd Ste C-2327,Anchorage,United States,AK,99502,"Anchorage, AK 99502",(907) 243-0085,OPEN,33728,(GMT-09:00) Alaska Time,"['GIFTCARDS', 'INDOORDINING', 'LINKEDPAY', 'LOYALTY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'TWENTYFOURHOURS', 'WIFI']",00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,,,,,,,,33728,185105,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.229535,-149.742159,"[-149.742159, 61.229535]",https://www.ubereats.com/store/mcdonalds-1166-north-muldoon-road-glenn-hwy/PXbwVL_ATeiQVccyPV04bw,ANCHORAGE-MULDOO,ANCHORAGE-MULDOON & GLENN,06:00 - 23:00,04:00 - 23:00,195500698076:en-US,1166 N Muldoon Rd,Anchorage,United States,AK,99504,"Anchorage, AK 99504",(907) 333-0006,OPEN,35221,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'WIFI']",06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,04:00 - 23:00,04:00 - 23:00,04:00 - 23:00,04:00 - 23:00,04:00 - 23:00,04:00 - 23:00,04:00 - 23:00,35221,191544,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.221444,-149.732514,"[-149.732514, 61.221444]",https://www.ubereats.com/store/mcdonalds-255-muldoon-rd/ykfsyTrJQyCdBpwLTzT3ug,ANCHGE/MULDOON,ANCHGE/MULDOON,07:00 - 22:00,06:00 - 23:00,195500327990:en-US,255 Muldoon Rd,Anchorage,United States,AK,99504,"Anchorage, AK 99504",(907) 337-0810,OPEN,13378,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'ROA', 'WIFI']",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,13378,31881,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
61.192947,-149.732712,"[-149.732712, 61.192947]",https://www.ubereats.com/store/mcdonalds-3035-muldoon-rd/M_BPZMJ-SAGxAhSnXH2rZg,MULDOON II,ANCHORAGE MULDOON II,09:00 - 23:00,06:00 - 23:00,195500328027:en-US,3035 Muldoon Rd,Anchorage,United States,AK,99504,"Anchorage, AK 99504",(907) 338-7377,OPEN,18138,(GMT-09:00) Alaska Time,"['DRIVETHRU', 'GIFTCARDS', 'INDOORDINING', 'INDOORPLAYGROUND', 'KIOSKAUDIOACCESSIBILITY', 'LINKEDPAY', 'LOYALTY', 'MCDELIVERY', 'MOBILEOFFERS', 'MOBILEORDERS', 'NED', 'PlayPlacePresence', 'ROA', 'WIFI']",09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,06:00 - 23:00,18138,31889,68,WALNUT CREEK FIELD OFFICE,252,ALASKA,10380,ANCHORAGE AK.
